names,scores,logfoldchanges,pvals,pvals_adj,log2fc,actual_fold_change,combined_rank
CEBPE,84.54104,7.2537966,0.0,0.0,10.465016,1413.461,613.24347
PLEK,58.33316,6.721716,0.0,0.0,9.697386,830.24084,392.09894
TRGC1,36.93306,7.8733387,1.3623771479213451e-298,9.169933519800587e-296,11.358827,2626.3196,290.7865
LST1,56.95049,4.933288,0.0,0.0,7.1172304,138.83527,280.95316
FYB,35.46483,6.3391895,1.7139590901100614e-275,1.0648959669860743e-272,9.145517,566.33716,224.81827
MS4A3,49.483402,3.910487,0.0,0.0,5.64164,49.923252,193.5042
PRG2,29.532726,6.067328,1.0945370875269107e-191,3.536230422381943e-189,8.753304,431.5261,179.18474
HCLS1,32.158573,5.436418,6.702675313148896e-227,3.007639361350202e-224,7.8430934,229.61824,174.82745
PTPRC,32.69162,5.2493057,2.0544985426920098e-234,1.0371365455827103e-231,7.5731473,190.434,171.6083
ITGB2,40.68454,4.1419625,0.0,0.0,5.975589,62.926193,168.51384
CD84,32.18852,5.190246,2.55502903840773e-227,1.2139393848952492e-224,7.487942,179.51273,167.06633
MYO1F,41.919365,3.6364698,0.0,0.0,5.246317,37.9576,152.4385
CSF3R,39.951252,3.7674484,0.0,0.0,5.4352794,43.26952,150.51428
PNRC1,41.75109,3.2916205,0.0,0.0,4.7488046,26.886396,137.42874
TYROBP,37.34185,3.627021,3.4380873847862504e-305,2.7769431806918546e-302,5.232685,37.60064,135.43968
ITGAM,30.172012,4.2965794,5.518294620081804e-200,2.025966620290942e-197,6.1986537,73.44813,129.63644
RGS18,25.884407,4.957504,9.978037695480533e-148,2.3703708960704786e-145,7.152166,142.2383,128.32205
CD48,25.610443,4.7601056,1.167147397402207e-144,2.6186248691160068e-142,6.8673806,116.758255,121.90842
CORO1A,36.986942,3.2798023,1.8568399048745544e-299,1.3634269010610705e-296,4.7317543,26.57052,121.30986
CLC,21.505465,4.634535,1.3839523929273148e-102,1.5525254830102667e-100,6.68622,102.98,99.66782
RASSF2,28.589804,3.3697627,8.9962033793779e-180,2.691197581305011e-177,4.86154,29.071627,96.34085
AIF1,38.480038,2.4728148,0.0,0.0,3.5675175,11.855771,95.15401
C10orf54,25.348457,3.371554,9.345359760573253e-142,1.9863808101618464e-139,4.8641243,29.123747,85.46369
PLPP1,21.001112,4.029818,6.406878098940372e-98,6.634404410915562e-96,5.8137984,56.250675,84.63066
TNFSF10,25.462212,3.0900676,5.170891723636103e-143,1.1287916878867244e-140,4.4580255,21.978563,78.679955
EVI2B,22.625912,3.4472294,2.4093511672701388e-113,3.1902179308263788e-111,4.973301,31.413239,77.996704
COTL1,29.980183,2.5743117,1.7791788660874367e-197,6.2480120440818374e-195,3.7139468,13.122281,77.17834
ITGB2-AS1,19.353157,3.6844923,1.9172868770706906e-83,1.4472828136542028e-81,5.315599,39.8249,71.30656
ATG16L2,20.07001,3.5413196,1.349815893517024e-89,1.172307846444839e-87,5.109044,34.512432,71.07432
ACSL1,22.483469,3.1018674,6.024348875344098e-112,7.723597756532426e-110,4.4750485,22.239445,69.74074
LMO4,33.71184,1.9426503,3.876854986493504e-249,2.2366684089934308e-246,2.802652,6.9772186,65.49032
LTB,20.088198,3.2598634,9.359711899191193e-90,8.30751571535904e-88,4.7029886,26.045977,65.48478
ARHGDIB,25.707685,2.408643,9.590722965445162e-146,2.2132648397685877e-143,3.4749372,11.118863,61.920635
MSRB1,30.61035,1.981591,8.913803225303901e-206,3.789304665830506e-203,2.8588314,7.254275,60.657192
SLC16A3,19.968073,3.033915,1.0440331714730109e-88,8.604750944885213e-87,4.377014,20.77842,60.581436
GSN,22.267864,2.6802697,7.572526698033055e-110,9.128850468658655e-108,3.8668118,14.589027,59.683884
SAT1,26.258144,2.2721286,5.769930936469883e-152,1.4563666304333514e-149,3.2779887,9.700026,59.66188
GLRX,26.144705,2.2204335,1.1321046738269207e-150,2.7709119546969816e-148,3.2034082,9.211323,58.052578
VIM,33.02302,1.7395681,3.7960876024898876e-239,2.0440666376873884e-236,2.5096662,5.6948833,57.445797
HVCN1,23.516932,2.3416393,2.7374196901571334e-122,4.171724308943239e-120,3.3782713,10.398269,55.068172
LPCAT2,22.648079,2.349702,1.4573076696689787e-113,1.961779007986057e-111,3.3899033,10.482444,53.216232
GPR85,22.348133,2.3696017,1.2589731373574374e-110,1.5407160652175791e-108,3.4186127,10.693132,52.956173
TRPM4,23.475,2.245082,7.344923439225426e-122,1.0986101225671068e-119,3.2389686,9.441188,52.703297
DOPEY2,20.142954,2.612933,3.1027191531801715e-90,2.7845180666929163e-88,3.7696652,13.638994,52.632187
COL9A2,19.02501,2.69291,1.0587048410536614e-80,7.567397346186215e-79,3.885048,14.774607,51.232635
LINC01094,19.329775,2.4575334,3.017270966944578e-83,2.23582546789095e-81,3.5454712,11.675974,47.503567
ARHGEF6,20.17352,2.2635381,1.6730017423180618e-90,1.5355494400798848e-88,3.2655952,9.617055,45.66353
IKZF2,16.929535,2.6617615,2.7252555812089583e-64,1.3504226582469177e-62,3.84011,14.321495,45.062386
RP11-598F7.3,16.388142,2.6993005,2.3244435298655002e-60,1.0728303080413512e-58,3.8942676,14.869328,44.23652
TNFAIP8,22.918745,1.9221586,3.021653957792186e-116,4.1365930537436415e-114,2.7730887,6.8356977,44.053463
ADGRE2,15.49575,2.8124027,3.7060829255579444e-54,1.467354499496643e-52,4.0574393,16.649876,43.58029
KCNE3,17.522734,2.4857402,9.609364081806929e-69,5.3160844992297644e-67,3.586165,12.010006,43.556965
PYCARD,30.443823,1.4017031,1.446064365087374e-203,5.83993093840536e-201,2.0222301,4.0621123,42.673203
SELPLG,18.622208,2.2699845,2.122787037843094e-77,1.453029737682938e-75,3.2748954,9.679251,42.27212
SPI1,23.951984,1.7272837,8.810704138227322e-127,1.3953736730286682e-124,2.4919436,5.625353,41.371872
FAM101B,20.003424,1.9588751,5.141901212508678e-89,4.371698536150799e-87,2.8260593,7.091345,39.184208
RP6-159A1.4,22.209126,1.7604629,2.8034590470368787e-109,3.2816722786836044e-107,2.5398111,5.8151283,39.098343
PRKCB,20.334858,1.8955939,6.322186840524461e-92,6.079083703680484e-90,2.7347639,6.6565003,38.54663
COLGALT2,20.605566,1.836658,2.4464092792476754e-94,2.4097131400589607e-92,2.6497374,6.2755303,37.84538
ID3,19.338799,1.9007611,2.5331039997395337e-83,1.8944334264718714e-81,2.7422187,6.6909847,36.75844
NPAS1,15.423433,2.2920425,1.1388531118128957e-53,4.422363742361903e-52,3.3067183,9.895127,35.351166
CD52,17.193577,2.0312438,2.966517169786359e-66,1.5867919986996306e-64,2.9304655,7.6235623,34.924347
ACSM3,21.007645,1.6347895,5.583725676247728e-98,5.857110686630246e-96,2.3585026,5.1283784,34.343075
APOBR,18.420525,1.8618801,8.992839298577157e-76,5.953701886443254e-74,2.686125,6.4358253,34.296806
ARHGAP25,13.715537,2.4763424,8.195769454844646e-43,2.267028420780144e-41,3.572607,11.897669,33.964367
HEPH,21.163713,1.5881733,2.06315464504153e-99,2.1926447457895313e-97,2.2912498,4.894799,33.611645
CD68,13.587768,2.4320655,4.732993874284711e-42,1.2700462299866315e-40,3.5087287,11.382368,33.04634
CCL3L3,13.586596,2.4215326,4.809373376693961e-42,1.2862685021045404e-40,3.4935331,11.263108,32.900383
ORAI3,17.883053,1.8329315,1.5983795537890011e-71,9.563045671076861e-70,2.6443613,6.252188,32.77841
